N,q,dF,dg,dr,mLen,encryption_time,decryption_time
107,128,70,60,90,300,20,19
107,128,70,60,90,400,13,10
107,128,70,60,90,500,18,19
107,128,70,70,50,100,15,16
107,128,70,70,50,200,14,11
107,128,70,70,50,300,23,20
107,128,70,70,50,400,24,15
107,128,70,70,50,500,16,12
107,128,70,70,60,100,15,14
107,128,70,70,60,200,16,12
107,128,70,70,60,300,19,19
107,128,70,70,60,400,10,10
107,128,70,70,60,500,21,17
107,128,70,70,70,100,22,17
107,128,70,70,70,200,10,10
107,128,70,70,70,300,12,12
107,128,70,70,70,400,21,12
107,128,70,70,70,500,10,10
107,128,70,70,80,100,14,13
107,128,70,70,80,200,19,11
107,128,70,70,80,300,16,11
107,128,70,70,80,400,16,12
107,128,70,70,80,500,22,16
107,128,70,70,90,100,12,16
107,128,70,70,90,200,22,23
107,128,70,70,90,300,31,24
107,128,70,70,90,400,22,13
107,128,70,70,90,500,28,11
107,128,70,80,50,100,12,12
107,128,70,80,50,200,18,11
107,128,70,80,50,300,17,13
107,128,70,80,50,400,11,11
107,128,70,80,50,500,10,17
107,128,70,80,60,100,16,9
107,128,70,80,60,200,10,10
107,128,70,80,60,300,15,10
107,128,70,80,60,400,18,10
107,128,70,80,60,500,20,15
107,128,70,80,70,100,19,17
107,128,70,80,70,200,14,12
107,128,70,80,70,300,17,14
107,128,70,80,70,400,23,19
107,128,70,80,70,500,19,10
107,128,70,80,80,100,18,13
107,128,70,80,80,200,20,13
107,128,70,80,80,300,19,11
107,128,70,80,80,400,11,18
107,128,70,80,80,500,24,17
107,128,70,80,90,100,10,10
107,128,70,80,90,200,15,16
107,128,70,80,90,300,23,12
107,128,70,80,90,400,14,14
107,128,70,80,90,500,13,12
107,128,70,90,50,100,14,12
107,128,70,90,50,200,18,17
107,128,70,90,50,300,18,12
107,128,70,90,50,400,21,13
107,128,70,90,50,500,17,17
107,128,70,90,60,100,20,11
107,128,70,90,60,200,23,12
107,128,70,90,60,300,22,13
107,128,70,90,60,400,14,11
107,128,70,90,60,500,21,14
107,128,70,90,70,100,11,12
107,128,70,90,70,200,17,17
107,128,70,90,70,300,23,13
107,128,70,90,70,400,17,13
107,128,70,90,70,500,20,18
107,128,70,90,80,100,16,10
107,128,70,90,80,200,19,11
107,128,70,90,80,300,20,11
107,128,70,90,80,400,20,14
107,128,70,90,80,500,17,14
107,128,70,90,90,100,17,13
107,128,70,90,90,200,16,21
107,128,70,90,90,300,23,16
107,128,70,90,90,400,21,17
107,128,70,90,90,500,12,10
107,128,80,50,50,100,10,11
107,128,80,50,50,200,14,13
107,128,80,50,50,300,25,23
107,128,80,50,50,400,15,11
107,128,80,50,50,500,21,11
107,128,80,50,60,100,16,17
107,128,80,50,60,200,23,13
107,128,80,50,60,300,17,13
107,128,80,50,60,400,22,18
107,128,80,50,60,500,16,17
107,128,80,50,70,100,11,11
107,128,80,50,70,200,11,13
107,128,80,50,70,300,18,18
107,128,80,50,70,400,17,11
107,128,80,50,70,500,20,13
107,128,80,50,80,100,11,9
107,128,80,50,80,200,18,14
107,128,80,50,80,300,18,13
107,128,80,50,80,400,20,15
107,128,80,50,80,500,17,14
107,128,80,50,90,100,21,18
107,128,80,50,90,200,29,15
107,128,80,50,90,300,17,15
107,128,80,50,90,400,18,19
107,128,80,50,90,500,18,19
107,128,80,60,50,100,23,15
107,128,80,60,50,200,18,13
107,128,80,60,50,300,12,19
107,128,80,60,50,400,9,11
107,128,80,60,50,500,10,9
107,128,80,60,60,100,10,10
107,128,80,60,60,200,12,11
107,128,80,60,60,300,23,16
107,128,80,60,60,400,22,12
107,128,80,60,60,500,16,10
107,128,80,60,70,100,19,11
107,128,80,60,70,200,21,17
107,128,80,60,70,300,19,17
107,128,80,60,70,400,13,11
107,128,80,60,70,500,12,11
107,128,80,60,80,100,11,12
107,128,80,60,80,200,15,10
107,128,80,60,80,300,15,13
107,128,80,60,80,400,21,12
107,128,80,60,80,500,10,14
107,128,80,60,90,100,14,11
107,128,80,60,90,200,12,17
107,128,80,60,90,300,15,12
107,128,80,60,90,400,11,14
107,128,80,60,90,500,11,10
107,128,80,70,50,100,13,10
107,128,80,70,50,200,13,10
107,128,80,70,50,300,12,12
107,128,80,70,50,400,20,15
107,128,80,70,50,500,22,32
107,128,80,70,60,100,15,13
107,128,80,70,60,200,12,10
107,128,80,70,60,300,22,17
107,128,80,70,60,400,19,18
107,128,80,70,60,500,16,19
107,128,80,70,70,100,10,12
107,128,80,70,70,200,14,15
107,128,80,70,70,300,13,9
107,128,80,70,70,400,19,10
107,128,80,70,70,500,10,9
107,128,80,70,80,100,13,13
107,128,80,70,80,200,18,12
107,128,80,70,80,300,21,13
107,128,80,70,80,400,16,11
107,128,80,70,80,500,22,12
107,128,80,70,90,100,17,20
107,128,80,70,90,200,18,10
107,128,80,70,90,300,10,10
107,128,80,70,90,400,22,15
107,128,80,70,90,500,20,14
107,128,80,80,50,100,19,11
107,128,80,80,50,200,15,16
107,128,80,80,50,300,17,12
107,128,80,80,50,400,26,10
107,128,80,80,50,500,18,19
107,128,80,80,60,100,11,9
107,128,80,80,60,200,20,14
107,128,80,80,60,300,19,15
107,128,80,80,60,400,24,16
107,128,80,80,60,500,11,11
107,128,80,80,70,100,19,11
107,128,80,80,70,200,12,11
107,128,80,80,70,300,10,12
107,128,80,80,70,400,18,12
107,128,80,80,70,500,17,16
107,128,80,80,80,100,23,17
107,128,80,80,80,200,24,19
107,128,80,80,80,300,22,18
107,128,80,80,80,400,26,20
107,128,80,80,80,500,16,22
107,128,80,80,90,100,15,13
107,128,80,80,90,200,13,14
107,128,80,80,90,300,29,19
107,128,80,80,90,400,15,20
107,128,80,80,90,500,19,20
107,128,80,90,50,100,19,19
107,128,80,90,50,200,20,12
107,128,80,90,50,300,10,12
107,128,80,90,50,400,20,13
107,128,80,90,50,500,11,9
107,128,80,90,60,100,13,14
107,128,80,90,60,200,25,16
107,128,80,90,60,300,10,11
107,128,80,90,60,400,14,10
107,128,80,90,60,500,16,18
107,128,80,90,70,100,12,16
107,128,80,90,70,200,13,16
107,128,80,90,70,300,21,12
107,128,80,90,70,400,14,17
107,128,80,90,70,500,19,16
107,128,80,90,80,100,25,19
107,128,80,90,80,200,18,16
107,128,80,90,80,300,20,20
107,128,80,90,80,400,15,10
107,128,80,90,80,500,14,13
107,128,80,90,90,100,18,10
107,128,80,90,90,200,17,18
107,128,80,90,90,300,17,17
107,128,80,90,90,400,19,17
107,128,80,90,90,500,15,17
107,128,90,50,50,100,19,17
107,128,90,50,50,200,19,18
107,128,90,50,50,300,17,20
107,128,90,50,50,400,10,9
107,128,90,50,50,500,10,10
107,128,90,50,60,100,10,12
107,128,90,50,60,200,9,10
107,128,90,50,60,300,10,11
107,128,90,50,60,400,9,10
107,128,90,50,60,500,10,9
107,128,90,50,70,100,10,11
107,128,90,50,70,200,10,9
107,128,90,50,70,300,9,10
107,128,90,50,70,400,10,10
107,128,90,50,70,500,9,10
107,128,90,50,80,100,10,9
107,128,90,50,80,200,10,11
107,128,90,50,80,300,10,9
107,128,90,50,80,400,9,9
107,128,90,50,80,500,10,9
107,128,90,50,90,100,10,10
107,128,90,50,90,200,11,12
107,128,90,50,90,300,11,10
107,128,90,50,90,400,10,11
107,128,90,50,90,500,9,9
107,128,90,60,50,100,10,10
107,128,90,60,50,200,9,9
107,128,90,60,50,300,17,12
107,128,90,60,50,400,23,12
107,128,90,60,50,500,11,13
107,128,90,60,60,100,11,15
107,128,90,60,60,200,37,19
107,128,90,60,60,300,14,11
107,128,90,60,60,400,12,11
107,128,90,60,60,500,12,18
107,128,90,60,70,100,18,16
107,128,90,60,70,200,17,16
107,128,90,60,70,300,14,19
107,128,90,60,70,400,15,17
107,128,90,60,70,500,21,11
107,128,90,60,80,100,16,11
107,128,90,60,80,200,12,11
107,128,90,60,80,300,22,16
107,128,90,60,80,400,20,20
107,128,90,60,80,500,12,11
107,128,90,60,90,100,10,12
107,128,90,60,90,200,11,13
107,128,90,60,90,300,34,35
107,128,90,60,90,400,11,9
107,128,90,60,90,500,20,20
107,128,90,70,50,100,21,21
107,128,90,70,50,200,12,9
107,128,90,70,50,300,15,13
107,128,90,70,50,400,16,11
107,128,90,70,50,500,9,12
107,128,90,70,60,100,10,11
107,128,90,70,60,200,19,12
107,128,90,70,60,300,11,12
107,128,90,70,60,400,10,9
107,128,90,70,60,500,19,13
107,128,90,70,70,100,15,11
107,128,90,70,70,200,18,11
107,128,90,70,70,300,17,15
107,128,90,70,70,400,17,19
107,128,90,70,70,500,22,13
107,128,90,70,80,100,18,10
107,128,90,70,80,200,18,15
107,128,90,70,80,300,17,11
107,128,90,70,80,400,16,13
107,128,90,70,80,500,16,16
107,128,90,70,90,100,16,14
107,128,90,70,90,200,20,14
107,128,90,70,90,300,14,14
107,128,90,70,90,400,11,9
107,128,90,70,90,500,21,12
107,128,90,80,50,100,17,18
107,128,90,80,50,200,16,16
107,128,90,80,50,300,19,11
107,128,90,80,50,400,20,11
107,128,90,80,50,500,18,13
107,128,90,80,60,100,16,18
107,128,90,80,60,200,15,16
107,128,90,80,60,300,13,13
107,128,90,80,60,400,23,19
107,128,90,80,60,500,11,13
107,128,90,80,70,100,17,18
107,128,90,80,70,200,21,14
107,128,90,80,70,300,16,17
107,128,90,80,70,400,11,9
107,128,90,80,70,500,20,16
107,128,90,80,80,100,21,14
107,128,90,80,80,200,10,9
107,128,90,80,80,300,16,13
107,128,90,80,80,400,20,12
107,128,90,80,80,500,17,16
107,128,90,80,90,100,19,14
107,128,90,80,90,200,13,13
107,128,90,80,90,300,10,9
107,128,90,80,90,400,15,16
107,128,90,80,90,500,19,16
107,128,90,90,50,100,18,10
107,128,90,90,50,200,15,11
107,128,90,90,50,300,19,17
107,128,90,90,50,400,9,9
107,128,90,90,50,500,15,15
107,128,90,90,60,100,14,11
107,128,90,90,60,200,16,17
107,128,90,90,60,300,18,20
107,128,90,90,60,400,16,19
107,128,90,90,60,500,11,12
107,128,90,90,70,100,11,10
107,128,90,90,70,200,13,14
107,128,90,90,70,300,11,11
107,128,90,90,70,400,13,10
