mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
180,1211,1202,4,14,11,21,16,
561,742,1064,9,8,4,25,21,
181,847,1094,19,13,5,19,22,
1522,545,771,2,8,18,17,20,
1034,943,2196,6,5,15,19,23,
182,813,2165,14,16,9,21,17,
562,510,2210,2,16,10,29,18,
183,1062,580,7,2,7,23,26,
2017,297,1511,9,9,6,18,17,
184,958,1184,1,17,12,29,21,
563,904,1135,3,6,12,18,21,
185,872,1299,16,1,18,19,16,
1035,705,2012,17,5,6,31,23,
186,298,950,11,6,15,20,19,
1523,481,1471,2,7,18,23,20,
564,772,2065,8,8,13,27,25,
187,324,1133,15,19,10,18,17,
2514,801,2440,19,17,6,20,18,
188,1233,887,1,10,17,20,19,
565,944,1612,15,5,11,30,18,
1036,1217,2288,8,14,11,20,23,
189,641,1054,12,1,16,24,22,
190,835,1997,11,9,17,26,22,
2018,694,2462,6,6,15,19,20,
191,512,761,17,18,11,17,17,
566,1251,2016,17,9,17,21,21,
1524,390,2011,20,19,19,31,32,
192,944,619,7,5,14,18,19,
1037,859,2402,4,4,5,17,24,
193,1111,968,11,3,10,24,23,
567,887,2029,8,14,3,20,21,
194,752,2193,14,2,4,23,21,
195,558,961,16,12,6,19,21,
568,643,1617,7,14,3,21,21,
2515,822,1400,11,12,13,17,20,
196,355,2036,11,1,8,29,20,
1038,404,2226,2,1,9,26,21,
1525,344,1519,9,18,19,18,19,
2019,828,2295,14,4,20,27,21,
197,834,1066,9,13,3,23,32,
569,961,881,9,20,18,21,19,
198,516,1288,14,13,6,19,18,
199,1014,1877,5,2,8,21,24,
570,691,1413,2,3,6,22,21,
1039,384,936,17,6,16,20,24,
200,523,520,8,17,2,20,28,
201,381,1212,12,15,20,23,21,
1526,276,2169,6,8,20,19,20,
571,1072,516,8,12,12,20,18,
202,1163,1417,15,20,16,20,20,
203,295,823,11,16,6,18,27,
1040,808,1475,15,8,19,23,23,
2020,763,1405,9,6,6,20,55,
2516,316,1644,11,6,8,20,30,
572,1166,1138,17,9,13,19,20,
204,533,661,14,14,1,26,24,
205,554,2516,8,7,11,25,22,
573,1243,1578,14,12,6,27,23,
206,709,1402,14,19,16,26,18,
1527,596,1773,20,4,14,21,21,
1041,1216,2004,14,1,12,16,20,
207,614,2155,6,6,14,19,19,
574,308,819,1,2,6,21,31,
208,577,2102,11,17,11,20,19,
209,1046,2048,11,19,7,20,18,
2021,544,2283,2,2,20,18,22,
575,432,1194,16,12,16,17,16,
1042,1170,2489,4,15,3,28,20,
210,678,1885,15,15,17,21,26,
2517,968,2478,15,3,20,17,22,
211,906,1793,5,13,19,22,18,
1528,1251,1204,10,10,10,17,17,
576,396,2489,10,3,10,17,14,
212,345,2327,5,19,14,19,25,
213,715,1608,20,7,14,24,18,
1043,353,808,16,8,6,16,19,
577,1057,606,16,4,19,20,17,
214,258,814,4,19,2,26,22,
215,296,935,13,5,7,17,20,
2022,328,1921,20,2,11,27,20,
1529,907,2321,8,17,19,29,22,
578,369,1225,16,1,20,24,23,
216,1259,1170,12,2,15,18,19,
1044,657,2318,15,17,10,32,16,
217,942,2120,10,7,2,29,21,
579,1189,1394,9,19,11,18,22,
218,516,1571,2,1,16,32,21,
2518,1127,946,14,3,15,24,21,
219,301,1605,6,3,5,24,19,
1045,319,796,20,9,14,18,17,
580,781,554,1,3,9,25,29,
220,860,2435,20,7,4,21,22,
1530,270,1225,18,6,8,21,24,
221,538,1277,5,11,5,21,20,
2023,1238,1742,16,12,11,20,21,
581,1058,581,7,15,9,20,18,
222,728,1838,11,8,6,23,17,
223,1009,782,10,5,7,27,15,
1046,577,661,3,7,15,18,20,
582,812,1725,19,7,10,17,18,
224,519,2169,18,6,6,18,18,
225,1228,1548,6,14,10,19,19,
1531,315,1876,17,16,8,21,17,
2519,1000,1326,11,15,19,19,18,
583,584,1884,6,6,11,19,21,
226,475,1750,1,10,3,22,21,
1047,1146,1711,12,19,12,24,28,
227,555,749,16,6,5,21,20,
2024,1178,2451,20,18,13,22,20,
584,894,2268,1,13,15,26,27,
228,465,884,8,15,9,23,20,
229,885,2460,17,6,18,25,27,
1048,441,703,19,18,7,22,20,
1532,938,574,16,7,7,16,17,
585,270,1732,18,17,7,23,18,
